goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1919 ns/op	    4612 B/op	      15 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	 1000000	      1929 ns/op	    4612 B/op	      15 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 2000000	       820 ns/op	    1648 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 2000000	       825 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 2000000	       825 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 2000000	       826 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	 2000000	       824 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       823 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       824 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       821 ns/op	    1648 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       824 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2000000	       829 ns/op	    1649 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_optimized-4                    	 2000000	       593 ns/op	    1056 B/op	       7 allocs/op
BenchmarkInsertValuesSQL/ToSQL_optimized-4                    	 3000000	       591 ns/op	    1056 B/op	       7 allocs/op
BenchmarkInsertValuesSQL/ToSQL_optimized-4                    	 3000000	       597 ns/op	    1056 B/op	       7 allocs/op
BenchmarkInsertValuesSQL/ToSQL_optimized-4                    	 3000000	       591 ns/op	    1056 B/op	       7 allocs/op
BenchmarkInsertValuesSQL/ToSQL_optimized-4                    	 3000000	       590 ns/op	    1056 B/op	       7 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       664 ns/op	    1096 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       663 ns/op	    1096 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       665 ns/op	    1096 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       666 ns/op	    1096 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 2000000	       664 ns/op	    1096 B/op	       9 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       909 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       910 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       904 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       908 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/multi-4                                       	 2000000	       917 ns/op	     224 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       483 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       483 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       483 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       485 ns/op	     144 B/op	       3 allocs/op
BenchmarkRepeat/single-4                                      	 3000000	       484 ns/op	     144 B/op	       3 allocs/op
BenchmarkQuoteAs-4                                            	10000000	       128 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10000000	       128 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10000000	       127 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10000000	       128 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                            	10000000	       127 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       217 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       218 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       217 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       218 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                              	10000000	       217 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        74.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        73.6 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        73.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        73.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                               	20000000	        73.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       179 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       179 ns/op	     208 B/op	       2 allocs/op
