goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkInterpolate-4                                     	  628293	      1921 ns/op	     160 B/op	       1 allocs/op
BenchmarkInterpolate-4                                     	  625916	      1920 ns/op	     160 B/op	       1 allocs/op
BenchmarkIsValidIdentifier-4                               	 5041377	       236 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5116941	       234 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5139099	       234 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5123102	       234 ns/op	       0 B/op	       0 allocs/op
BenchmarkIsValidIdentifier-4                               	 5135216	       234 ns/op	       0 B/op	       0 allocs/op
BenchmarkQuoteAlias-4                                      	 9975675	       120 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10065444	       119 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10115725	       119 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	 9921960	       119 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAlias-4                                      	10038546	       119 ns/op	      32 B/op	       1 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 4955751	       240 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5051798	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5044327	       237 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5040825	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkConditions_writeOnDuplicateKey-4                  	 5054398	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6590793	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6602719	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6606586	       183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6574266	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDialectEscapeTime-4                               	 6595046	       182 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  224901	      5289 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  226086	      5316 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  226011	      5316 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  225445	      5297 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_without_warm_up-4      	  226440	      5297 ns/op	    3688 B/op	      90 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4         	  580532	      2063 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4         	  584059	      2132 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4         	  585572	      2059 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4         	  584978	      2060 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/all_types_with_warm_up-4         	  584954	      2099 ns/op	     192 B/op	       4 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4  	  768366	      1552 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4  	  725203	      1551 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4  	  777182	      1558 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4  	  773398	      1552 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_without_warm_up-4  	  768949	      1552 ns/op	     992 B/op	      34 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4     	 2095573	       565 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4     	 2133010	       563 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4     	 2129852	       563 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4     	 2131848	       563 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/number_slices_with_warm_up-4     	 2132554	       563 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4        	 1663716	       720 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4        	 1664186	       721 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4        	 1660899	       720 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4        	 1666000	       722 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_without_warm_up-4        	 1654945	       720 ns/op	     608 B/op	      18 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4           	 4971199	       240 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4           	 5052841	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4           	 5058573	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4           	 5044748	       239 ns/op	       0 B/op	       0 allocs/op
BenchmarkArgumentEncoding/numbers_with_warm_up-4           	 5040127	       238 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectRows2007/Query-4                            	     340	   3427351 ns/op	  742906 B/op	   17225 allocs/op
