goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkIfNull/3_args_no_qualifier-4                      	 4183978	       300 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 3182052	       372 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 3180141	       369 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 3600854	       351 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 3386293	       311 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4230462	       349 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 3458570	       310 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 4726712	       275 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 4198749	       296 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 4697130	       288 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 5488802	       215 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 5538741	       232 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 5581370	       303 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 4644948	       273 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 4318430	       291 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 4262334	       283 ns/op	     208 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	71921985	        16.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	72913358	        16.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	73324851	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	75370639	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	62984270	        21.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	   90399	     12085 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	   98185	     13143 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	   74365	     13735 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  101872	     12646 ns/op	   11740 B/op	      63 allocs/op
