goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       178 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       178 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       178 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                     	10000000	       178 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       204 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       203 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       203 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       203 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                         	10000000	       203 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       269 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       267 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       267 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       267 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                       	 5000000	       268 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       188 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       189 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       187 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       187 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                      	10000000	       187 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       187 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       187 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       188 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       186 ns/op	     224 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                      	10000000	       186 ns/op	     224 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                    	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8482 ns/op	   11987 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8480 ns/op	   11986 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8489 ns/op	   11988 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8480 ns/op	   11990 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                         	  200000	      8521 ns/op	   11987 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithArgs-4                           	100000000	        15.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                     	100000000	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                          	  100000	     13837 ns/op	   14073 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	  100000	     13918 ns/op	   14082 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	  100000	     13873 ns/op	   14075 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	  100000	     13904 ns/op	   14080 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                          	  100000	     13929 ns/op	   14080 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                        	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	100000000	        15.7 ns/op	       0 B/op	       0 allocs/op
