goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkIfNull/3_args_expression_right-4                  	 6565792	       183 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5653312	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5705916	       211 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5714022	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5722312	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5712495	       211 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4352550	       276 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4343312	       277 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4348129	       276 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4350501	       276 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4339132	       276 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6098662	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6113599	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6084091	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6071366	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6110740	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6134932	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6070840	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6113852	       201 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6057549	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6118483	       197 ns/op	     208 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	74758040	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	74642443	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	74606914	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	74336978	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	74590159	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  132082	      9070 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  132343	      9049 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  135097	      9066 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  133458	      9081 ns/op	   11741 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  132372	      9056 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	49965325	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	50230910	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	50066862	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	49969894	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	50171500	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	74371933	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	74875393	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	74856910	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	74202195	        16.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	71724498	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   86193	     13978 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   84638	     13528 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   88459	     13498 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   88928	     13494 ns/op	   14009 B/op	      96 allocs/op
BenchmarkUnion/Template_not_cached-4                       	   89263	     13581 ns/op	   14007 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                     	74012492	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	75240028	        16.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	75519061	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	75272216	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                     	75517321	        15.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  989198	      1197 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  993832	      1221 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	  999201	      1201 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1195 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                 	 1000000	      1201 ns/op	    3184 B/op	      10 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  676965	      1791 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  678549	      1788 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  674796	      1786 ns/op	     672 B/op	      44 allocs/op
BenchmarkArgsToIFace/reflection_all_types-4                	  674436	      1786 ns/op	     672 B/op	      44 allocs/op
