goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_Large_IN/SQL-4                                	   44061	     27172 ns/op	    9415 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44094	     27157 ns/op	    9415 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   40819	     29361 ns/op	   10281 B/op	      25 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   40678	     29408 ns/op	   10285 B/op	      25 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   40904	     29264 ns/op	   10288 B/op	      25 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   41444	     28859 ns/op	   10286 B/op	      25 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40618	     29595 ns/op	   10723 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40518	     29561 ns/op	   10720 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40710	     29559 ns/op	   10721 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40621	     29491 ns/op	   10717 B/op	      35 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   45895	     26131 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   45782	     26147 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   45886	     26131 ns/op	    5498 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   46024	     26226 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  480435	      2491 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  470385	      2484 ns/op	    4688 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  480175	      2481 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  483404	      2477 ns/op	    4688 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                     	  255410	      4622 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  261688	      4625 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  260132	      4613 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  260697	      4623 ns/op	    4632 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1185 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1182 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1179 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1179 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 3426312	       668 ns/op	     214 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4623669	       486 ns/op	      53 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4726725	       278 ns/op	      38 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                           	 4376882	       270 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63651518	        18.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63135368	        19.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63002000	        19.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                         	63279654	        19.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  602319	      2009 ns/op	    4177 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  588535	      2016 ns/op	    4177 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  610526	      2052 ns/op	    4178 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                          	  620162	      2019 ns/op	    4177 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  719012	      2078 ns/op	    1499 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  740894	      2000 ns/op	    1496 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  733246	      1977 ns/op	    1497 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                     	  699363	      1997 ns/op	    1502 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2370110	       506 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2377244	       507 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2369859	       506 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                   	 2368717	       506 ns/op	     720 B/op	       6 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1890518	       635 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1894270	       634 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1888792	       634 ns/op	     792 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                   	 1891809	       635 ns/op	     792 B/op	       9 allocs/op
BenchmarkRepeat/multi-4                                       	  748776	      1634 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  740632	      1638 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  743050	      1644 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/multi-4                                       	  746257	      1632 ns/op	     720 B/op	      19 allocs/op
BenchmarkRepeat/single-4                                      	 1347100	       889 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1346524	       890 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1348512	       903 ns/op	     272 B/op	      10 allocs/op
BenchmarkRepeat/single-4                                      	 1342947	       891 ns/op	     272 B/op	      10 allocs/op
