goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkUnion/Template_not_cached-4                          	   85802	     14100 ns/op	   14008 B/op	      96 allocs/op
BenchmarkUnion/Template_interpolated-4                        	74221008	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	73462507	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	74284803	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template_interpolated-4                        	74972419	        15.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkUpdateValuesSQL-4                                    	  944480	      1204 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1205 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	 1000000	      1204 ns/op	    3184 B/op	      10 allocs/op
BenchmarkUpdateValuesSQL-4                                    	  992523	      1202 ns/op	    3184 B/op	      10 allocs/op
FAIL
exit status 1
FAIL	github.com/corestoreio/pkg/sql/dml	356.673s
